2025-11-20 19:30:23,743 | DQN_CartPole | INFO | Episode: 202/1000, Score: 85.00, Steps: 97, Epsilon: 0.365
2025-11-20 19:30:23,780 | DQN_CartPole | INFO | Episode: 203/1000, Score: 138.00, Steps: 150, Epsilon: 0.363
2025-11-20 19:30:23,815 | DQN_CartPole | INFO | Episode: 204/1000, Score: 118.00, Steps: 130, Epsilon: 0.361
2025-11-20 19:30:23,828 | DQN_CartPole | INFO | Episode: 205/1000, Score: 54.00, Steps: 66, Epsilon: 0.360
2025-11-20 19:30:23,841 | DQN_CartPole | INFO | Episode: 206/1000, Score: 41.00, Steps: 53, Epsilon: 0.358
2025-11-20 19:30:23,857 | DQN_CartPole | INFO | Episode: 207/1000, Score: 83.00, Steps: 95, Epsilon: 0.356
2025-11-20 19:30:23,884 | DQN_CartPole | INFO | Episode: 208/1000, Score: 125.00, Steps: 137, Epsilon: 0.354
2025-11-20 19:30:23,902 | DQN_CartPole | INFO | Episode: 209/1000, Score: 48.00, Steps: 60, Epsilon: 0.353
2025-11-20 19:30:23,943 | DQN_CartPole | INFO | Episode: 210/1000, Score: 120.00, Steps: 132, Epsilon: 0.351
2025-11-20 19:30:23,976 | DQN_CartPole | INFO | Episode: 211/1000, Score: 102.00, Steps: 114, Epsilon: 0.349
2025-11-20 19:30:23,994 | DQN_CartPole | INFO | Episode: 212/1000, Score: 108.00, Steps: 120, Epsilon: 0.347
2025-11-20 19:30:24,015 | DQN_CartPole | INFO | Episode: 213/1000, Score: 94.00, Steps: 106, Epsilon: 0.346
2025-11-20 19:30:24,050 | DQN_CartPole | INFO | Episode: 214/1000, Score: 116.00, Steps: 128, Epsilon: 0.344
